Street_Address,Zipcode,X_Coordinate,Y_Coordinate,NIBRS_Hi_Class,HighRisk
   ROZZELLES FERRY                          RD,28214,1428823,563199,Motor Vehicle Theft,0
N  TRYON                                    ST,28206,1457300,549724,Motor Vehicle Theft,0
E  TRADE                                    ST,28202,1449949,542056,Motor Vehicle Theft,0
   PECAN                                    AV,28205,1458254,539969,Motor Vehicle Theft,0
   EASTWAY                                  DR,28205,1470895,543327,Motor Vehicle Theft,0
   PINEBURR                                 RD,28212,1475066,513649,Motor Vehicle Theft,0
   PEGRAM                                   ST,28205,1458583,545357,Motor Vehicle Theft,0
   GARNETTE                                 PL,28216,1447470,555229,Motor Vehicle Theft,0
   HARRIS COVE                              DR,28269,1458099,582829,Motor Vehicle Theft,0
   ORCHARD TRACE                            LN,28213,1472147,562037,Motor Vehicle Theft,0
   GARDEN TRACE                             CT,28216,1445591,571600,Motor Vehicle Theft,0
   WALLACE                                  RD,28212,1476908,522914,Motor Vehicle Theft,0
   SPRINGFIELD  GARDENS                     DR,28227,1489093,522937,Motor Vehicle Theft,0
   NATIONS FORD                             RD,28217,1433126,513374,Motor Vehicle Theft,0
   CRAIGWOOD                                DR,28212,1480835,541179,Motor Vehicle Theft,0
   BARRINGTON                               DR,28215,1478618,550851,Motor Vehicle Theft,0
   WHEATSIDE                                DR,28262,1489099,574074,Motor Vehicle Theft,0
   BELLEFONTE                               DR,28206,1457262,551456,Motor Vehicle Theft,0
   WADDELL                                  ST,28216,1448887,552863,Motor Vehicle Theft,0
W  10TH                                     ST,28202,1450940,544678,Motor Vehicle Theft,0
   KILBORNE                                 DR,28205,1470077,542325,Motor Vehicle Theft,0
E  8TH                                      ST,28202,1452140,542457,Motor Vehicle Theft,0
   BRIAR CREEK                              RD,28205,1463986,536205,Motor Vehicle Theft,0
   SHAMROCK                                 DR,28205,1466032,545244,Motor Vehicle Theft,0
   CHALLENGER                               DR,28213,1480913,562807,Motor Vehicle Theft,0
